Sezione1
0	0.00	0.519
60	11.367	0.519
120	11.218	0.517
180	11.069	0.515
240	10.92	0.512
300	10.771	0.51
360	10.622	0.508
420	10.473	0.506
480	10.324	0.503
540	10.175	0.501
600	10.026	0.499
660	9.877	0.496
720	9.728	0.494
780	9.579	0.492
840	9.43	0.489
900	9.281	0.487
960	9.133	0.485
1020	8.984	0.483
1080	8.835	0.48
1140	8.686	0.478
1200	8.537	0.476
1260	8.388	0.473
1320	8.239	0.471
1380	8.09	0.469
1440	7.941	0.466
1500	7.792	0.464
1560	7.643	0.462
1620	7.494	0.46
1680	7.345	0.457
1740	7.196	0.455
1800	7.047	0.453
1860	6.898	0.45
1920	6.749	0.448
1980	6.601	0.446
2040	6.452	0.444
2100	6.303	0.441
2160	6.154	0.439
2220	6.005	0.437
2280	5.856	0.434
2340	5.707	0.432
2400	5.558	0.43
2460	5.409	0.427
2520	5.26	0.425
2580	5.111	0.423
2640	4.962	0.421
2700	4.813	0.418
2760	4.664	0.416
2820	4.515	0.414
2880	4.366	0.411
2940	4.217	0.409
3000	4.068	0.407
3060	3.92	0.404
3120	3.771	0.402
3180	3.622	0.4
3240	3.473	0.398
3300	3.324	0.395
3360	3.175	0.393
3420	3.026	0.391
3480	2.877	0.388
3540	2.728	0.386
3600	2.579	0.384
3660	2.43	0.381
3720	2.281	0.379
3780	2.132	0.377
3840	1.983	0.375
3900	1.834	0.372
3960	1.685	0.37
4020	1.536	0.368
4080	1.388	0.365
4140	1.239	0.363
4200	1.09	0.361
4260	0.941	0.359
4320	0.792	0.356
4380	0.643	0.354
4440	0.494	0.352
4500	0.345	0.349
4560	0.196	0.347
4620	0.047	0.345
4638	0.00	0.344
	END
