Sezione1
0.00	0.00	0.655
60.00	6.809	0.655
120.00	6.70	0.654
180.00	6.592	0.653
240.00	6.483	0.652
300.00	6.374	0.651
360.00	6.266	0.65
420.00	6.157	0.648
480.00	6.049	0.647
540.00	5.94	0.646
600.00	5.831	0.645
660.00	5.723	0.644
720.00	5.614	0.643
780.00	5.505	0.642
840.00	5.397	0.64
900.00	5.288	0.639
960.00	5.18	0.638
1020.0	5.071	0.637
1080.0	4.962	0.636
1140.0	4.854	0.635
1200.0	4.745	0.634
1260.0	4.636	0.632
1320.0	4.528	0.631
1380.0	4.419	0.63
1440.0	4.31	0.629
1500.0	4.202	0.628
1560.0	4.093	0.627
1620.0	3.985	0.625
1680.0	3.876	0.624
1740.0	3.767	0.623
1800.0	3.659	0.622
1860.0	3.55	0.621
1920.0	3.441	0.62
1980.0	3.333	0.619
2040.0	3.224	0.617
2100.0	3.115	0.616
2160.0	3.007	0.615
2220.0	2.898	0.614
2280.0	2.79	0.613
2340.0	2.681	0.612
2400.0	2.572	0.611
2460.0	2.464	0.609
2520.0	2.355	0.608
2580.0	2.246	0.607
2640.0	2.138	0.606
2700.0	2.029	0.605
2760.0	1.92	0.604
2820.0	1.812	0.602
2880.0	1.703	0.601
2940.0	1.595	0.6
3000.0	1.486	0.599
3060.0	1.377	0.598
3120.0	1.269	0.597
3180.0	1.16	0.596
3240.0	1.051	0.594
3300.0	0.943	0.593
3360.0	0.834	0.592
3420.0	0.725	0.591
3480.0	0.617	0.59
3540.0	0.508	0.589
3600.0	0.40	0.588
3660.0	0.291	0.586
3720.0	0.182	0.585
3780.0	0.074	0.584
3820.0	0.00	0.583
	END
